tweet,4
Bryce's little brothers are really mean to me ,0
"I feel so horrible that I haven't posted anything recently, but I am so busy with finals and my thursday finals sadly fall on my b-day ",0
I am impatient and getting tired of waiting. ,0
"Larry is out the door to go to Frankfort. He'll be back Thursday, which sounds like a really long time. ",4
I was so happy because I had three followers.  Now I'm sad because 2 of them were porn bots. ,0
"Severus was too good to be true, for a multitude of reasons! ",0
Aaaand I'm back. Last class of my undergraduate days today. ,0
"@vicenaria I used to LOVE those books, for real.  When I read them now, all I see are the misplaced modifiers.  The magic is gone. ",0
"watching dave nd james playing lbp. God scary stuff happend tonight lol, oh and tryin to get my puk code for phone ",0
@Tahiryjose I don't know about Joey but I kno I am  lol!,0
It's so hot back here ,4
@2intense  they don't give those at the adult doctor,4
"@Top25songs @top25songs  Aagh  Unfortunately I can't listen to anything - live in South Africa... Oh well, nice concept though.",4
My bed is empty  hes not here,0
Saturdays just don't feel like Saturdays when you're jobless ,4
 but not with Karen anymore,0
hi Phil went out to check the info on the cruise and the cruise sold out ,4
@alexispratsides thanks. lol. sadly I am 31!! waaahhhhh ,0
@sparklingwhine comms seriously make flists unreadable ,0
had all my wage stole ,4
@MarianneW i would have to be a no due to exams... ,4
watching American idol marathon right now. watch the night that Matt was out made me cry  So sad  I miss him a lots!,4
I wish i played soccer today ,0
"@Sbuxblaze I can't continue the other one, they won't allow me to sell items. ",0
They were sooo mean!  im not the only one with imperfections,4
Bus drivers and dmv workers are the most grouchiest ppl. you'll everr meeet ,0
It's over. So sad ,0
my dog died today ,0
@AbbieReed im so jealous! i really wanna see them. ,4
@xocaiuk Haha people not seeing the opportunity and BIG picture  so much success and money to be made!,4
Did some gardening tonight... something stung my lip.  I look I've tried to invent a 'Do It Yourself Botox Injection' for lips.  ,0
"Took the moped for an inaugural ride after it's trip to the shop. Started at 35mph. Slipped to 30 after 2 miles, then 20, 10, 5... push ",4
"aw, becky is sad. ",0
@jenmass77 This is making me wish I had a cool accent. ,0
Hangovers make me sad ,0
@Nelley you lucky girl you.... got a guy who will do ANYTHING for you!!! I need to find me a man.  you guys are bummin me out man!,0
@stephernaut she's playing again in somerset on saturday.    I love her.,0
I just drank a glass of red wine and it went down entirely the wrong way...my legs now require cleaning ,0
dang I didnt get to see the Lakers game  I wanted to see them win..,0
Just touched down in hawa...chicago ,0
starving @ work ,0
the power supply died in my computer   dell is sending a replacement.,0
@casualeveryday I love the smell of laundry but that stuff is giving me a horrible headache and I'm sitting OUTside ,4
Hello twitter lol back to  school ,4
thinkin ,0
havent gone to sleep yet  got back from my 2 hour walk and not even tired,4
@airliebee I don't think I've got the sticks  But the HOT business feels pretty &quot;key&quot; ;),4
@xthemusic I promise I will  GOODBYE ANT...I WILL NEVA LUV AGEN,4
@douggpound !!!?! Fuuuuck ,0
have just booked tickets for trip to Paris in September. Wish Holly was coming though ,0
@Amanda467 Sounds rough! Poor little munchkin. Shyness blows ,0
Isn't allowed to leave until the gas man gets here. ,4
